months_loan_duration,credit_history,purpose,amount,employment_length,personal_status,property,age,job
6,critical,radio/tv,1169,> 7 yrs,single male,real estate,67,skilled employee
48,repaid,radio/tv,5951,1 - 4 yrs,female,real estate,22,skilled employee
12,critical,education,2096,4 - 7 yrs,single male,real estate,49,unskilled resident
42,repaid,furniture,7882,4 - 7 yrs,single male,building society savings,45,skilled employee
24,delayed,car (new),4870,1 - 4 yrs,single male,unknown/none,53,skilled employee
36,repaid,education,9055,1 - 4 yrs,single male,unknown/none,35,unskilled resident
24,repaid,furniture,2835,> 7 yrs,single male,building society savings,53,skilled employee
36,repaid,car (used),6948,1 - 4 yrs,single male,other,35,mangement self-employed
12,repaid,radio/tv,3059,4 - 7 yrs,divorced male,real estate,61,unskilled resident
30,critical,car (new),5234,unemployed,married male,other,28,mangement self-employed
12,repaid,car (new),1295,0 - 1 yrs,female,other,25,skilled employee
48,repaid,business,4308,0 - 1 yrs,female,building society savings,24,skilled employee
12,repaid,radio/tv,1567,1 - 4 yrs,female,other,22,skilled employee
24,critical,car (new),1199,> 7 yrs,single male,other,60,unskilled resident
15,repaid,car (new),1403,1 - 4 yrs,female,other,28,skilled employee
24,repaid,radio/tv,1282,1 - 4 yrs,female,other,32,unskilled resident
24,critical,radio/tv,2424,> 7 yrs,single male,building society savings,53,skilled employee
30,fully repaid,business,8072,0 - 1 yrs,single male,other,25,skilled employee
24,repaid,car (used),12579,> 7 yrs,female,unknown/none,44,mangement self-employed
24,repaid,radio/tv,3430,> 7 yrs,single male,other,31,skilled employee
9,critical,car (new),2134,1 - 4 yrs,single male,other,48,skilled employee
6,repaid,radio/tv,2647,1 - 4 yrs,single male,real estate,44,skilled employee
10,critical,car (new),2241,0 - 1 yrs,single male,real estate,48,unskilled resident
12,critical,car (used),1804,0 - 1 yrs,single male,building society savings,44,skilled employee
10,critical,furniture,2069,1 - 4 yrs,married male,other,26,skilled employee
6,repaid,furniture,1374,1 - 4 yrs,single male,real estate,36,unskilled resident
6,fully repaid,radio/tv,426,> 7 yrs,married male,other,39,unskilled resident
12,fully repaid this bank,radio/tv,409,1 - 4 yrs,female,real estate,42,skilled employee
7,repaid,radio/tv,2415,1 - 4 yrs,single male,real estate,34,skilled employee
60,delayed,business,6836,> 7 yrs,single male,unknown/none,63,skilled employee
18,repaid,business,1913,0 - 1 yrs,married male,real estate,36,skilled employee
24,repaid,furniture,4020,1 - 4 yrs,single male,other,27,skilled employee
18,repaid,car (new),5866,1 - 4 yrs,single male,other,30,skilled employee
12,critical,business,1264,> 7 yrs,single male,unknown/none,57,unskilled resident
12,repaid,furniture,1474,0 - 1 yrs,female,building society savings,33,mangement self-employed
45,critical,radio/tv,4746,0 - 1 yrs,single male,building society savings,25,unskilled resident
48,critical,education,6110,1 - 4 yrs,single male,unknown/none,31,skilled employee
18,repaid,radio/tv,2100,1 - 4 yrs,single male,real estate,37,skilled employee
10,repaid,domestic appliances,1225,1 - 4 yrs,single male,other,37,skilled employee
9,repaid,radio/tv,458,1 - 4 yrs,single male,real estate,24,skilled employee
30,repaid,radio/tv,2333,> 7 yrs,single male,other,30,mangement self-employed
12,repaid,radio/tv,1158,1 - 4 yrs,divorced male,other,26,skilled employee
18,delayed,repairs,6204,1 - 4 yrs,single male,real estate,44,unskilled resident
30,critical,car (used),6187,4 - 7 yrs,married male,other,24,skilled employee
48,critical,car (used),6143,> 7 yrs,female,unknown/none,58,unskilled resident
11,critical,car (new),1393,0 - 1 yrs,female,other,35,mangement self-employed
36,repaid,radio/tv,2299,> 7 yrs,single male,other,39,skilled employee
6,repaid,car (used),1352,unemployed,female,building society savings,23,unemployed non-resident
11,critical,car (new),7228,1 - 4 yrs,single male,building society savings,39,unskilled resident
12,repaid,radio/tv,2073,1 - 4 yrs,female,real estate,28,skilled employee
24,delayed,furniture,2333,0 - 1 yrs,single male,building society savings,29,unskilled resident
27,delayed,car (used),5965,> 7 yrs,single male,other,30,mangement self-employed
12,repaid,radio/tv,1262,1 - 4 yrs,single male,other,25,skilled employee
18,repaid,car (used),3378,1 - 4 yrs,single male,building society savings,31,skilled employee
36,delayed,car (new),2225,> 7 yrs,single male,unknown/none,57,skilled employee
6,fully repaid this bank,car (new),783,1 - 4 yrs,single male,real estate,26,unskilled resident
12,repaid,radio/tv,6468,unemployed,single male,unknown/none,52,mangement self-employed
36,critical,radio/tv,9566,1 - 4 yrs,female,other,31,skilled employee
18,repaid,car (new),1961,> 7 yrs,female,other,23,mangement self-employed
36,critical,furniture,6229,0 - 1 yrs,female,unknown/none,23,unskilled resident
9,repaid,business,1391,1 - 4 yrs,married male,real estate,27,skilled employee
15,critical,radio/tv,1537,> 7 yrs,single male,real estate,50,skilled employee
